Date,ActivityType,RouteName,Distance,Duration,AveragePace,AverageSpeed,CaloriesBurned,Climb,AverageHeartRate,Notes,GPXFile
2016-03-31 05:53:21,Running,,5.16,38:24,7:26,8.06,398.0,43.09,,,2016-03-31-0553.gpx
2016-03-30 06:42:33,Running,,4.01,29:07,7:16,8.26,308.0,28.27,,,2016-03-30-0642.gpx
2016-03-29 06:09:19,Running,,4.10,29:18,7:08,8.40,318.0,29.67,,,2016-03-29-0609.gpx
2016-03-28 19:27:05,Running,,2.67,19:35,7:19,8.19,199.0,14.99,,,2016-03-28-1927.gpx
2016-03-27 06:24:31,Running,,5.06,41:56,8:17,7.24,389.0,105.97,,,2016-03-27-0624.gpx
2016-03-26 16:45:56,Running,,2.77,22:06,7:59,7.51,220.0,73.86,,,2016-03-26-1645.gpx
2016-03-25 18:29:51,Running,,2.60,20:43,7:59,7.52,209.0,70.65,,,2016-03-25-1829.gpx
2016-03-24 19:13:35,Running,,2.86,19:37,6:51,8.75,225.0,12.64,,,2016-03-24-1913.gpx
2016-03-23 07:07:41,Running,,3.66,25:47,7:03,8.51,290.0,30.55,,,2016-03-23-0707.gpx
2016-03-22 06:35:18,Running,,2.79,21:20,7:39,7.84,210.0,21.73,,,2016-03-22-0635.gpx
2016-03-21 07:59:30,Running,,2.66,17:16,6:30,9.23,214.0,23.18,,,2016-03-21-0759.gpx
2016-03-20 17:42:53,Running,,4.16,32:16,7:45,7.74,314.0,38.00,,,2016-03-20-1742.gpx
2016-03-19 17:03:40,Running,,2.59,18:53,7:17,8.24,205.0,20.60,,,2016-03-19-1703.gpx
2016-03-18 18:22:51,Running,,2.50,19:39,7:51,7.64,186.0,19.64,,,2016-03-18-1822.gpx
2016-03-17 07:26:48,Running,,4.03,29:38,7:21,8.16,310.0,28.55,,,2016-03-17-0726.gpx
2016-03-16 07:31:22,Running,,4.04,29:34,7:19,8.20,314.0,28.88,,,2016-03-16-0731.gpx
2016-03-15 07:32:52,Running,,4.05,34:49,8:36,6.98,316.0,28.45,,,2016-03-15-0732.gpx
2016-03-14 08:13:22,Running,,4.02,31:40,7:52,7.63,294.0,28.55,,,2016-03-14-0813.gpx
2016-03-13 09:01:08,Running,,4.17,27:49,6:40,8.99,336.0,35.55,,,2016-03-13-0901.gpx
2016-03-13 08:58:05,Running,,0.09,2:11,25:05,2.39,6.0,0.00,,,2016-03-13-0858.gpx
2016-03-12 07:20:37,Running,,4.00,29:16,7:19,8.21,307.0,25.36,,,2016-03-12-0720.gpx
2016-03-11 07:50:20,Running,,2.57,15:39,6:06,9.84,204.0,21.09,,,2016-03-11-0750.gpx
2016-03-10 07:12:09,Running,,4.03,30:22,7:32,7.97,308.0,28.91,,,2016-03-10-0712.gpx
2016-03-09 07:36:52,Running,,4.00,29:19,7:20,8.18,305.0,28.64,,,2016-03-09-0736.gpx
2016-03-08 07:06:10,Running,,4.00,30:16,7:34,7.93,304.0,28.09,,,2016-03-08-0706.gpx
2016-03-07 07:13:16,Running,,4.04,29:21,7:16,8.26,310.0,28.55,,,2016-03-07-0713.gpx
2016-03-06 19:12:53,Running,,3.03,21:03,6:57,8.63,237.0,18.73,,,2016-03-06-1912.gpx
2016-03-05 08:07:27,Running,,8.01,1:02:35,7:49,7.68,591.0,64.59,,,2016-03-05-0807.gpx
2016-03-04 07:04:47,Running,,5.20,35:28,6:49,8.79,414.0,42.64,,,2016-03-04-0704.gpx
2016-03-03 07:12:56,Running,,4.06,30:07,7:25,8.09,305.0,29.61,,,2016-03-03-0712.gpx
2016-03-02 07:01:00,Running,,6.66,51:17,7:42,7.79,495.0,50.91,,,2016-03-02-0701.gpx
2016-03-01 07:07:28,Running,,4.05,28:14,6:58,8.61,317.0,29.70,,,2016-03-01-0707.gpx
2016-02-29 08:07:19,Running,,2.54,17:39,6:57,8.63,199.0,20.83,,,2016-02-29-0807.gpx
2016-02-28 07:02:35,Running,,5.57,42:08,7:34,7.93,434.0,63.62,,,2016-02-28-0702.gpx
2016-02-27 08:10:16,Running,,4.01,30:38,7:39,7.85,305.0,28.55,,,2016-02-27-0810.gpx
2016-02-26 07:02:40,Running,,5.09,36:36,7:12,8.34,403.0,41.45,,,2016-02-26-0702.gpx
2016-02-25 07:43:03,Running,,1.24,9:33,7:44,7.77,94.0,3.55,,,2016-02-25-0743.gpx
2016-02-25 07:21:42,Running,,2.71,20:30,7:34,7.93,209.0,24.18,,,2016-02-25-0721.gpx
2016-02-24 07:51:07,Running,,2.51,18:17,7:16,8.25,197.0,21.91,,,2016-02-24-0751.gpx
2016-02-23 07:09:11,Running,,5.23,38:02,7:16,8.25,403.0,43.36,,,2016-02-23-0709.gpx
2016-02-22 06:56:34,Running,,4.03,30:57,7:41,7.82,305.0,27.18,,,2016-02-22-0656.gpx
2016-02-21 09:00:41,Running,,5.18,38:38,7:27,8.05,401.0,43.24,,,2016-02-21-0900.gpx
2016-02-20 17:31:05,Running,,5.18,38:24,7:25,8.09,405.0,42.26,,,2016-02-20-1731.gpx
2016-02-19 07:09:27,Running,,4.02,31:54,7:56,7.57,296.0,28.91,,,2016-02-19-0709.gpx
2016-02-18 06:33:46,Running,,4.00,30:15,7:34,7.93,306.0,26.64,,,2016-02-18-0633.gpx
2016-02-17 07:03:19,Running,,3.92,30:29,7:47,7.71,299.0,32.09,,,2016-02-17-0703.gpx
2016-02-16 07:35:43,Running,,2.69,21:02,7:50,7.66,199.0,21.27,,,2016-02-16-0735.gpx
2016-02-15 07:37:21,Running,,2.68,19:56,7:27,8.06,208.0,21.82,,,2016-02-15-0737.gpx
2016-02-14 08:33:59,Running,,2.51,18:36,7:25,8.08,192.0,20.11,,,2016-02-14-0833.gpx
2016-02-13 07:15:22,Running,,2.63,20:50,7:55,7.58,196.0,22.42,,,2016-02-13-0715.gpx
2016-02-12 07:10:17,Running,,2.91,22:47,7:49,7.67,218.0,22.50,,,2016-02-12-0710.gpx
2016-02-11 07:18:24,Running,,5.17,38:29,7:26,8.07,404.0,43.02,,,2016-02-11-0718.gpx
2016-02-10 08:02:44,Running,,5.13,38:37,7:32,7.97,391.0,42.00,,,2016-02-10-0802.gpx
2016-02-09 06:42:58,Running,,5.23,42:28,8:07,7.39,382.0,43.18,,,2016-02-09-0642.gpx
2016-02-08 07:29:00,Running,,2.77,21:59,7:56,7.56,207.0,22.27,,,2016-02-08-0729.gpx
2016-02-07 15:21:49,Running,,2.50,20:04,8:01,7.49,188.0,26.73,,,2016-02-07-1521.gpx
2016-02-06 07:11:31,Running,,10.53,1:21:22,7:44,7.76,802.0,87.82,,,2016-02-06-0711.gpx
2016-02-05 06:51:51,Running,,2.99,25:26,8:30,7.06,207.0,20.27,,,2016-02-05-0651.gpx
2016-02-04 06:37:19,Running,,4.03,34:22,8:31,7.04,279.0,29.45,,,2016-02-04-0637.gpx
2016-02-03 07:28:03,Running,,3.30,29:26,8:54,6.74,218.0,23.35,,,2016-02-03-0728.gpx
2016-02-02 07:10:54,Running,,3.38,29:09,8:37,6.97,232.0,22.36,,,2016-02-02-0710.gpx
2016-02-01 06:33:18,Running,,2.90,24:13,8:20,7.20,206.0,23.73,,,2016-02-01-0633.gpx
2016-01-31 08:30:26,Running,,4.93,44:24,9:00,6.66,475.0,406.06,,,2016-01-31-0830.gpx
2016-01-30 07:13:33,Running,,5.17,45:07,8:44,6.87,491.0,434.62,,,2016-01-30-0713.gpx
2016-01-29 06:53:40,Running,,1.61,13:37,8:28,7.09,114.0,10.89,,,2016-01-29-0653.gpx
2016-01-29 06:44:16,Running,,0.00,8:25,,,0.0,0.00,,,2016-01-29-0644.gpx
2016-01-28 06:32:55,Running,,2.50,18:26,7:23,8.13,196.0,19.09,,,2016-01-28-0632.gpx
2016-01-27 07:27:00,Running,,2.50,17:48,7:07,8.44,204.0,21.64,,,2016-01-27-0727.gpx
2016-01-26 09:46:02,Running,,2.55,15:15,5:58,10.05,195.0,18.12,,,2016-01-26-0946.gpx
2016-01-25 07:25:42,Running,,2.59,17:27,6:44,8.92,210.0,20.30,,,2016-01-25-0725.gpx
2016-01-24 08:49:07,Running,,1.01,7:27,7:24,8.11,80.0,7.65,,,2016-01-24-0849.gpx
2016-01-24 08:18:37,Running,,2.47,18:50,7:37,7.88,188.0,17.10,,,2016-01-24-0818.gpx
2016-01-23 08:14:53,Running,,2.54,19:31,7:41,7.81,194.0,17.45,,,2016-01-23-0814.gpx
2016-01-22 07:24:05,Running,,2.66,20:34,7:44,7.76,205.0,0.00,,,
2016-01-21 06:27:48,Running,,2.84,22:07,7:47,7.71,214.0,21.45,,,2016-01-21-0627.gpx
2016-01-20 06:53:01,Running,,2.77,18:50,6:48,8.83,214.0,9.91,,,2016-01-20-0653.gpx
2016-01-19 07:18:12,Running,,2.55,20:10,7:54,7.59,188.0,12.21,,,2016-01-19-0718.gpx
2016-01-18 07:28:32,Running,,2.84,19:59,7:02,8.53,210.0,5.10,,,2016-01-18-0728.gpx
2016-01-17 08:33:01,Running,,2.99,23:11,7:46,7.73,213.0,7.61,,,2016-01-17-0833.gpx
2016-01-16 06:16:59,Running,,3.46,29:50,8:38,6.95,246.0,28.08,,,2016-01-16-0616.gpx
2016-01-15 06:35:52,Running,,2.55,19:54,7:47,7.70,194.0,14.00,,,2016-01-15-0635.gpx
2016-01-14 07:01:06,Running,,3.33,28:31,8:34,7.00,234.0,25.91,,,2016-01-14-0701.gpx
2016-01-13 06:41:38,Running,,2.59,19:13,7:26,8.07,192.0,19.82,,,2016-01-13-0641.gpx
2016-01-12 06:57:19,Running,,2.60,19:55,7:39,7.85,190.0,21.36,,,2016-01-12-0657.gpx
2016-01-11 08:38:26,Running,,2.91,23:41,8:09,7.37,205.0,24.36,,,2016-01-11-0838.gpx
2016-01-10 08:58:12,Running,,2.55,17:22,6:48,8.83,192.0,15.65,,,2016-01-10-0858.gpx
2016-01-09 07:17:04,Running,,2.54,18:52,7:25,8.09,188.0,21.71,,,2016-01-09-0717.gpx
2016-01-08 06:25:27,Running,,2.56,18:22,7:10,8.38,196.0,21.45,,,2016-01-08-0625.gpx
2016-01-07 07:02:06,Running,,2.53,18:52,7:28,8.04,186.0,20.82,,,2016-01-07-0702.gpx
2016-01-06 06:36:18,Running,,2.84,21:18,7:30,8.01,207.0,24.24,,,2016-01-06-0636.gpx
2016-01-05 06:30:44,Running,,2.82,21:57,7:46,7.72,200.0,19.18,,,2016-01-05-0630.gpx
2016-01-04 07:48:16,Running,,2.58,19:21,7:29,8.01,191.0,21.55,,,2016-01-04-0748.gpx
2016-01-03 09:10:12,Running,,2.57,20:49,8:06,7.40,176.0,14.29,,,2016-01-03-0910.gpx
2016-01-02 07:52:51,Running,,2.73,22:21,8:11,7.33,188.0,16.99,,,2016-01-02-0752.gpx
2016-01-01 08:48:20,Running,,2.48,19:16,7:47,7.71,173.0,14.45,,,2016-01-01-0848.gpx
